dll,export,dll-hash,export-hash
kernel32.dll,CheckAllowDecryptedRemoteDestinationPolicy,0xd78acaf904a2cf36,0xe062259c97ce86db
kernel32.dll,CheckElevation,0xd78acaf904a2cf36,0x9a04173a2df94705
kernel32.dll,CheckElevationEnabled,0xd78acaf904a2cf36,0xe31eca1150ecfb33
kernel32.dll,CheckForReadOnlyResource,0xd78acaf904a2cf36,0x12e6c94900116c78
kernel32.dll,CheckForReadOnlyResourceFilter,0xd78acaf904a2cf36,0x8e942f6b030653e0
kernel32.dll,CheckNameLegalDOS8Dot3A,0xd78acaf904a2cf36,0x3d2a8270840d2753
kernel32.dll,CheckNameLegalDOS8Dot3W,0xd78acaf904a2cf36,0x3d2a827e6a7e73fe
kernel32.dll,CheckRemoteDebuggerPresent,0xd78acaf904a2cf36,0xd7aeb31ff17c6207
kernel32.dll,CheckTokenCapability,0xd78acaf904a2cf36,0x7f5554f1a1434a62
kernel32.dll,CheckTokenMembershipEx,0xd78acaf904a2cf36,0x47ff612460ee3397
kernel32.dll,ClearCommBreak,0xd78acaf904a2cf36,0x46bcc89ab8c687b4
kernel32.dll,ClearCommError,0xd78acaf904a2cf36,0xea2e2b675f9847f6
kernel32.dll,CloseConsoleHandle,0xd78acaf904a2cf36,0xa90cba48e08c3d0b
kernel32.dll,CloseHandle,0xd78acaf904a2cf36,0x4d069b5bf2dc8baf
kernel32.dll,ClosePackageInfo,0xd78acaf904a2cf36,0xa78f4e57c37a53d0
kernel32.dll,ClosePrivateNamespace,0xd78acaf904a2cf36,0x4e4e136a7732d503
kernel32.dll,CloseProfileUserMapping,0xd78acaf904a2cf36,0x3b70b6fca0dae9b4
kernel32.dll,CloseState,0xd78acaf904a2cf36,0x34356813411c10aa
kernel32.dll,CloseThreadpool,0xd78acaf904a2cf36,0x86998c5926c12878
kernel32.dll,CloseThreadpoolCleanupGroup,0xd78acaf904a2cf36,0x452c5d5849138f82
kernel32.dll,CloseThreadpoolCleanupGroupMembers,0xd78acaf904a2cf36,0xce2cfe1f0136e68d
kernel32.dll,CloseThreadpoolIo,0xd78acaf904a2cf36,0x476bb118981a9890
kernel32.dll,CloseThreadpoolTimer,0xd78acaf904a2cf36,0xda264dbdd2b4a48f
kernel32.dll,CloseThreadpoolWait,0xd78acaf904a2cf36,0x64230911626f7fcb
kernel32.dll,CloseThreadpoolWork,0xd78acaf904a2cf36,0x64372b7a20d77399
kernel32.dll,CmdBatNotification,0xd78acaf904a2cf36,0xf3a84cb8a87b243e
kernel32.dll,CommConfigDialogA,0xd78acaf904a2cf36,0x646a36c53f7e448d
kernel32.dll,CommConfigDialogW,0xd78acaf904a2cf36,0x646a36ae7bd43d94
kernel32.dll,CompareCalendarDates,0xd78acaf904a2cf36,0xa5b0d2044cdbddbc
kernel32.dll,CompareFileTime,0xd78acaf904a2cf36,0x654bef4cbf456ce6
kernel32.dll,CompareStringA,0xd78acaf904a2cf36,0x887c7ea28ab13679
kernel32.dll,CompareStringEx,0xd78acaf904a2cf36,0xd1702dc74a922ce1
kernel32.dll,CompareStringOrdinal,0xd78acaf904a2cf36,0xdef2d0bc26ba798c
